qSpecies_string,resolved_to,rule,authority,note
Acer rubrum 'Autumn Blaze' - 'Autumn Blaze' Red maple,Acer rubrum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Liquidambar styraciflua 'Happidaze' - 'Happidaze' Sweetgum,Liquidambar styraciflua,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ulmus 'New Horizon' - 'New Horizon' Elm,Ulmus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Syringa pekinensis 'China Snow' - 'China Snow' Peking lilac,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Acer rubrum 'Armstrong' - 'Armstrong' Red maple,Acer rubrum 'Armstrong',R0 exact,-,already a corpus name
Amelanchier x grandiflora 'Robin Hill' - 'Robin Hill' Serviceberry,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Cotinus coggygria - European smoketree,Cotinus coggygria,R0 exact,-,already a corpus name
Pinus rigida - pitch pine,,unmapped (accepted),ITIS TSN 183376,accepted taxon absent from the corpus; the build mints it
Cedrus deodara - Deodar cedar,Cedrus deodara,R0 exact,-,already a corpus name
Maclura pomifera - osage orange,,unmapped (accepted),ITIS TSN 19102,accepted taxon absent from the corpus; the build mints it
Tilia platyphyllos - largeleaf linden,,unmapped (accepted),ITIS TSN 21541,accepted taxon absent from the corpus; the build mints it
Chamaecyparis pisifera - sawara-cypress,,unmapped (accepted),ITIS TSN 183450,accepted taxon absent from the corpus; the build mints it
Aesculus x carnea 'Fort Mcnair' - 'Fort Mcnair' Ruby red horsechestnut,Aesculus x carnea,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Betula populifolia - gray birch,,unmapped (accepted),ITIS TSN 19497,accepted taxon absent from the corpus; the build mints it
Ulmus 'Accolade' - 'Accolade' Elm,Ulmus 'Accolade',R0 exact,-,already a corpus name
Celtis occidentalis 'Praire Sentinal' - 'Praire Sentinal' Hackberry,Celtis occidentalis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Acer tataricum - tatarian maple,,unmapped (accepted),ITIS TSN 182137,accepted taxon absent from the corpus; the build mints it
Cercis canadensis 'Forest Pansy' - 'Forest Pansy' Eastern redbud,Cercis canadensis 'Forest Pansy',R0 exact,-,already a corpus name
Ginkgo biloba 'Princeton Sentry' - 'Princeton Sentry' Ginkgo,Ginkgo biloba 'Princeton Sentry',R0 exact,-,already a corpus name
Quercus robur var. fastigiata - Upright english oak,Quercus robur,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ginkgo biloba 'Windover Gold' - 'Windover Gold' Ginkgo,Ginkgo biloba,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus palustris 'Green Pillar' - 'Green Pillar' Pin oak,Quercus palustris,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Betula nigra 'Duraheat' - 'Duraheat' River birch,Betula nigra,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Picea glauca - white spruce,,unmapped (accepted),ITIS TSN 183295,accepted taxon absent from the corpus; the build mints it
Tilia cordata 'Glenlevyn' - 'Glenlevyn' Littleleaf linden,Tilia cordata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Prunus cerasifera 'Newport' - 'Newport' Cherry plum,Prunus cerasifera,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Liquidambar styraciflua 'Worplesdon' - 'Worplesdon' Sweetgum,Liquidambar styraciflua,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ulmus 'Morton Glossy' - 'Morton Glossy' Elm,Ulmus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Tilia tomentosa 'Silver Lining' - 'Silver Lining' Silver linden,Tilia tomentosa,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cercis canadensis 'Appalachian Red' - 'Appalachian Red' Eastern redbud,Cercis canadensis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Magnolia acuminata - cucumber tree,,unmapped (accepted),ITIS TSN 18071,accepted taxon absent from the corpus; the build mints it
Malus 'Prariefire' - 'Prariefire' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Carya ovata - shagbark hickory,,unmapped (accepted),ITIS TSN 19242,accepted taxon absent from the corpus; the build mints it
Quercus falcata - southern red oak,,unmapped (accepted),ITIS TSN 19277,accepted taxon absent from the corpus; the build mints it
Salix alba - white willow,,unmapped (accepted),ITIS TSN 565478,accepted taxon absent from the corpus; the build mints it
Aesculus glabra - Ohio buckeye,,unmapped (accepted),ITIS TSN 28718,accepted taxon absent from the corpus; the build mints it
Malus 'Cardinal' - 'Cardinal' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Malus 'Adams' - 'Adams' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Liquidambar styraciflua 'Slender Silhouette' - 'Slender Silhouette' Sweetgum,Liquidambar styraciflua,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Betula lenta - sweet birch,,unmapped (accepted),ITIS TSN 19487,accepted taxon absent from the corpus; the build mints it
Halesia diptera - Two-wing silverbell,,unmapped (accepted),ITIS TSN 23865,accepted taxon absent from the corpus; the build mints it
Stewartia pseudocamellia - Japanese stewartia,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Malus 'Harvest Gold' - 'Harvest Gold' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Aesculus sp. - Horsechestnut,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Prunus serrulata 'Accolade' - 'Accolade' Flowering cherry,Prunus serrulata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Prunus sargentii 'Columnaris' - 'Columnaris' Sargent cherry,Prunus sargentii 'Columnaris',R0 exact,-,already a corpus name
Albizia julibrissin - silktree,Albizia julibrissin,R0 exact,-,already a corpus name
Celtis occidentalis 'Magnifica' - 'Magnifica' Hackberry,Celtis occidentalis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Picea pungens 'Glauca' - 'Glauca' blue spruce,Picea pungens,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Malus sargentii - Sargent's apple,,unmapped (synonym),ITIS TSN 507499,Malus toringo
Diospyros virginiana - common persimmon,,unmapped (accepted),ITIS TSN 23855,accepted taxon absent from the corpus; the build mints it
Ulmus 'Athena' - 'Athena' Elm,Ulmus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Alnus glutinosa - European alder,,unmapped (accepted),ITIS TSN 19470,accepted taxon absent from the corpus; the build mints it
Cedrus libani - Cedar of lebanon,Cedrus libani,R0 exact,-,already a corpus name
Magnolia virginiana - sweetbay,,unmapped (accepted),ITIS TSN 18070,accepted taxon absent from the corpus; the build mints it
Malus x zumi var. calocarpa - Zumi crabapple,,unmapped (synonym),ITIS TSN 837681,Malus X zumi
Malus 'Perfect Purple' - 'Perfect Purple' flowering crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cercis canadensis 'Royal White' - 'Royal White' Eastern redbud,Cercis canadensis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Castanea mollissima - Chinese chestnut,,unmapped (accepted),ITIS TSN 501318,accepted taxon absent from the corpus; the build mints it
Celtis australis - European hackberry,Celtis australis,R0 exact,-,already a corpus name
Pistacia chinensis - Chinese pistache,Pistacia chinensis,R0 exact,-,already a corpus name
Cornus kousa var. chinensis - Kousa dogwood,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Prunus persica - Peach,Prunus persica,R0 exact,-,already a corpus name
Acer miyabei 'Rugged Ridge' - 'Rugged Ridge' Miyabe maple,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Robinia hispida - bristly locust,,unmapped (accepted),ITIS TSN 26191,accepted taxon absent from the corpus; the build mints it
Malus 'Donald Wyman' - 'Donald Wyman' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cornus mas 'Golden Glory' - 'Golden Glory' Cornelian cherry dogwood,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Juniperus virginiana 'Glauca' - 'Glauca' Eastern red cedar,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Prunus americana - American plum,,unmapped (accepted),ITIS TSN 24763,accepted taxon absent from the corpus; the build mints it
Liquidambar styraciflua 'Cherokee' - 'Cherokee' Sweetgum,Liquidambar styraciflua,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Chamaecyparis obtusa 'Crippsii' - 'Crippsii' Golden hinoki cypress,Chamaecyparis obtusa,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Taxodium ascendens 'Morris Debonair' - 'Morris Debonair' Bald cypress,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Pyrus calleryana 'Chanticleer' - 'Chanticleer' Callery pear,Pyrus calleryana 'Chanticleer',R0 exact,-,already a corpus name
Quercus montana - Chestnut oak,,unmapped (accepted),ITIS TSN 19379,accepted taxon absent from the corpus; the build mints it
Cornus controversa 'June Snow' - 'June Snow' dogwood,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Abies balsamea - balsam fir,,unmapped (accepted),ITIS TSN 18032,accepted taxon absent from the corpus; the build mints it
Ulmus 'Jefferson' - 'Jefferson' Elm,Ulmus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Pinus sylvestris - Scots pine,Pinus sylvestris,R0 exact,-,already a corpus name
Celtis occidentalis 'Chicagoland' - 'Chicagoland' Hackberry,Celtis occidentalis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Syringa reticulata 'Snowcap' - 'Snowcap' Japanese tree lilac,Syringa reticulata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Styrax japonicus 'Snow Charm' - 'Snow Charm' Japanese snowbell,Styrax japonicus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Tilia americana 'Legend' - 'Legend' American linden,Tilia americana,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus palustris 'Pacific Brilliance' - 'Pacific Brilliance' Pin oak,Quercus palustris,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cedrus atlantica 'Glauca' - Blue Atlas cedar,Cedrus atlantica 'Glauca',R0 exact,-,already a corpus name
Carya - Hickory,,unmapped (accepted),ITIS TSN 19223,accepted taxon absent from the corpus; the build mints it
Larix laricina - tamarack,,unmapped (accepted),ITIS TSN 183412,accepted taxon absent from the corpus; the build mints it
Populus grandidentata - bigtooth aspen,,unmapped (accepted),ITIS TSN 22463,accepted taxon absent from the corpus; the build mints it
Gleditsia triacanthos var. inermis 'Northern Acclaim' - 'Northern Acclaim' Thornless honeylocust,Gleditsia triacanthos,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Thuja 'Green Giant' - 'Green Giant' Arborvitae,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Koelreuteria paniculata 'Rose Lanterns' - 'Rose Lanterns' Goldenraintree,Koelreuteria paniculata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ginkgo biloba 'Columnar' - 'Columnar' Ginkgo,Ginkgo biloba,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Nyssa sylvatica 'Red Rage' - 'Red Rage' Black gum,Nyssa sylvatica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ulmus x - Hybrid Elm,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Acer truncatum 'Crimson Sunset' - 'Crimson Sunset' Shangtung maple,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Zelkova serrata 'Halka' - 'Halka' Zelkova,Zelkova serrata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ficus carica - Common Fig,Ficus carica,R0 exact,-,already a corpus name
Robinia pseudoacacia 'Frisia' - 'Frisia' Black locust,Robinia pseudoacacia,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cornus florida 'Cherokee Brave' - 'Cherokee Brave' Flowering dogwood,Cornus florida,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Celtis occidentalis 'Ultrazam' - 'Ultrazam' Hackberry,Celtis occidentalis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Prunus cerasifera 'Thundercloud' - 'Thundercloud' Cherry plum,Prunus cerasifera 'Thundercloud',R0 exact,-,already a corpus name
Acer x freemanii 'Bailston' - Matador maple,Acer x freemanii,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Magnolia 'Galaxy' - 'Galaxy' Magnolia,Magnolia,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cercis canadensis var. Alba - White redbud,Cercis canadensis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cornus 'Venus' - 'Venus' Dogwood,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Acer japonicum - Amur maple,Acer japonicum,R0 exact,-,already a corpus name
Lagerstroemia indica 'Muskogee' - 'Muskogee' Crapemyrtle,Lagerstroemia indica 'Muskogee',R0 exact,-,already a corpus name
Malus 'Centurion' - 'Centurion' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Koelreuteria paniculata 'Fastigiata' - 'Fastigiata' Goldenraintree,Koelreuteria paniculata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Acer truncatum 'Pacific Sunset' - 'Pacific Sunset' Shangtung maple,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Cryptomeria japonica 'Yoshino' - 'Yoshino' Japanese cedar,Cryptomeria japonica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Abies concolor - white fir,,unmapped (accepted),ITIS TSN 181826,accepted taxon absent from the corpus; the build mints it
Acer nigrum - black maple,,unmapped (accepted),ITIS TSN 182135,accepted taxon absent from the corpus; the build mints it
Chionanthus virginicus - Fringetree,,unmapped (accepted),ITIS TSN 32950,accepted taxon absent from the corpus; the build mints it
Lagerstroemia 'Natchez' - 'Natchez' Crapemyrtle,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Prunus serrulata 'Shirofugen' - 'Shirofugen' Japanese flowering cherry,Prunus serrulata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Malus ioensis - prairie crabapple,,unmapped (accepted),ITIS TSN 25259,accepted taxon absent from the corpus; the build mints it
Amelanchier canadensis 'Robin Hill' - 'Robin Hill' Canadian serviceberry,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Ginkgo biloba 'Shangri La' - 'Shangri La' Ginkgo,Ginkgo biloba,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Gymnocladus dioicus 'Prairie Titan' - 'Prairie Titan' Kentucky coffee tree,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Aesculus x carnea 'Briotii' - 'Briotii' Ruby red horsechestnut,Aesculus x carnea 'Briotii',R0 exact,-,already a corpus name
Magnolia x soulangiana - Chinese magnolia,Magnolia x soulangiana,R0 exact,-,already a corpus name
Hamamelis vernalis - Ozark witchhazel,,unmapped (accepted),ITIS TSN 19032,accepted taxon absent from the corpus; the build mints it
Quercus virginiana - live oak,Quercus virginiana,R0 exact,-,already a corpus name
Pinus thunbergii - Japanese black pine,Pinus thunbergii,R0 exact,-,already a corpus name
Maclura pomifera 'Wichita' - 'Wichita' Osage orange,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Pyrus calleryana 'Aristocrat' - 'Aristocrat' Callery pear,Pyrus calleryana 'Aristocrat',R0 exact,-,already a corpus name
Pinus flexilis - limber pine,,unmapped (accepted),ITIS TSN 183343,accepted taxon absent from the corpus; the build mints it
Fraxinus pennsylvanica 'Leprechaun' - 'Leprechaun' Green ash,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Prunus x hillieri 'Spires' - 'Spires' Flowering cherry,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Nyssa sylvatica 'Tupelo Tower' - 'Tupelo Tower' Black gum,Nyssa sylvatica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus nuttallii - Nuttall oak,,unmapped (synonym),ITIS TSN 19389,Quercus texana
Maclura pomifera 'White Shield' - 'White Shield' Osage orange,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Cornus 'Constellation' - 'Constellation' Dogwood,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Magnolia stellata - star magnolia,,unmapped (accepted),ITIS TSN 506192,accepted taxon absent from the corpus; the build mints it
Prunus padus - European birdcherry,,unmapped (accepted),ITIS TSN 24798,accepted taxon absent from the corpus; the build mints it
Aesculus hippocastanum 'Baumanni' - 'Baumanni' Horsechestnut,Aesculus hippocastanum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Populus tremuloides 'Prairie Gold' - 'Prairie Gold' Quaking aspen,Populus tremuloides,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Acer campestre 'Metro Gold' - 'Metro Gold' Hedge maple,Acer campestre,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Juniperus scopulorum 'Blue Haven' - 'Blue Haven' Juniper,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Crataegus ambigua - Russian hawthorn,,unmapped (accepted),ITIS TSN 836585,accepted taxon absent from the corpus; the build mints it
Ulmus wilsoniana 'Prospector' - 'Prospector' Elm,Ulmus wilsoniana 'Prospector',R0 exact,-,already a corpus name
Prunus 'JFS-KW14' - 'First Blush' Flowering cherry,Prunus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Chamaecyparis lawsoniana - Port Orford cedar,Chamaecyparis lawsoniana,R0 exact,-,already a corpus name
Juniperus virginiana 'Canaertii' - 'Canaertii' Eastern red cedar,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Acer ginnala 'Ruby Slippers' - 'Ruby Slippers' Amur maple,Acer ginnala,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Pinus strobiformis - southwestern white pine,,unmapped (accepted),ITIS TSN 183380,accepted taxon absent from the corpus; the build mints it
Tilia americana 'Continental Appeal' - 'Continental Appeal' American linden,Tilia americana,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Pinus virginiana - Virginia pine,,unmapped (accepted),ITIS TSN 183394,accepted taxon absent from the corpus; the build mints it
Ulmus rubra - Slippery elm,,unmapped (accepted),ITIS TSN 19050,accepted taxon absent from the corpus; the build mints it
Quercus stellata - post oak,,unmapped (accepted),ITIS TSN 19422,accepted taxon absent from the corpus; the build mints it
Carya illinoinensis - pecan,Carya illinoinensis,R0 exact,-,already a corpus name
Betula alleghaniensis - yellow birch,,unmapped (accepted),ITIS TSN 19481,accepted taxon absent from the corpus; the build mints it
Malus 'Robinson' - 'Robinson' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Halesia tetraptera - Common silverbell,,unmapped (synonym),ITIS TSN 502868,Halesia carolina
Prunus cerasifera 'Crimson Point' - 'Crimson Point' Cherry plum,Prunus cerasifera,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Picea orientalis - Oriental spruce,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Acer rubrum 'Franksred' - 'Franksred' Red maple,Acer rubrum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Prunus serrulata 'Royal Burgundy' - 'Royal Burgundy' Flowering cherry,Prunus serrulata 'Royal Burgundy',R0 exact,-,already a corpus name
Asimina triloba – Pawpaw,,unmapped (accepted),ITIS TSN 18117,accepted taxon absent from the corpus; the build mints it
Tilia tomentosa 'Green Mountain' - 'Green Mountain' Silver linden,Tilia tomentosa,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ulmus minor 'Atinia' - English elm,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Thuja plicata - western redcedar,Thuja plicata,R0 exact,-,already a corpus name
Tilia cordata 'Corinthian' - 'Corinthian' Littleleaf linden,Tilia cordata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Ulmus americana 'Valley Forge' - 'Valley Forge' American Elm,Ulmus americana,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Acer rubrum 'Sun valley' - 'Sun valley' Red maple,Acer rubrum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Fagus sylvatica 'Tricolor' - 'Tricolor' European beech,Fagus sylvatica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Prunus sargentii 'Pink Flair' - 'Pink Flair' Sargent cherry,Prunus sargentii,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Juniperus virginiana 'Cupressifolia' - 'Cupressifolia' Eastern red cedar,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Aesculus pavia - red buckeye,,unmapped (accepted),ITIS TSN 28723,accepted taxon absent from the corpus; the build mints it
Cornus kousa 'Starlight' - 'Starlight' Kousa dogwood,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Fagus sylvatica 'Riversii' - 'Riversii' European beech,Fagus sylvatica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Acer rubrum 'Karpick' - 'Karpick' Red maple,Acer rubrum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus bicolor 'Beacon' - 'Beacon' Swamp white oak,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Acer x freemanii 'Sienna' - Sienna Glen maple,Acer x freemanii,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Castanea dentata - American chestnut,Castanea dentata,R0 exact,-,already a corpus name
Cladrastis kentukea 'Perkins Pink' - 'Perkins Pink' American yellowwood,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Magnolia loebneri 'Dr. Merril' - 'Dr. Merril' Loebner magnolia,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Ulmus parvifolia 'Everclear' - 'Everclear' Chinese elm,Ulmus parvifolia,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
